# Russian	Uzbek (Latin)	English
Товар верный. Подтвердите сборку.	Tovar to‘g‘ri. Terishni tasdiqlang.	Item is correct. Confirm picking.
Старый КИЗ связан с прошлым заказом. Переклейте эту единицу на новый КИЗ.	Eski KIZ oldingi buyurtmaga bog‘langan. Bu birlikka yangi KIZ yorlig‘ini yopishtiring.	The old marking code is linked to a previous order. Apply a new marking label to this item.
КИЗ уже принят для {0}.	KIZ {0} uchun allaqachon qabul qilingan.	Marking code already accepted for {0}.
Переклейка отменена. Отсканируйте КИЗ другой единицы.	Qayta yorliqlash bekor qilindi. Boshqa birlikning KIZini skanerlang.	Relabelling cancelled. Scan another item’s marking code.
Переклейка зарегистрирована. Завершите проверку короба, затем продолжите сборку с новым КИЗ.	Qayta yorliqlash qayd etildi. Quti tekshiruvini tugating, keyin yangi KIZ bilan terishni davom ettiring.	Relabelling recorded. Finish the box check, then continue picking with the new marking code.
КИЗ числится в коробе {0}, а товар взят из {0}. Подтвердите перенос одной единицы.	KIZ {0} qutisida hisobda, lekin tovar {0} qutisidan olingan. Bir birlik ko‘chirilishini tasdiqlang.	Marking code is recorded in box {0}, but the item was taken from {0}. Confirm transfer of one item.
КИЗ принят локально в WMS. Товар перемещён в короб {0}. Wildberries не изменялся. Подтвердите сборку заказа.	KIZ WMSda mahalliy qabul qilindi. Tovar {0} qutisiga ko‘chirildi. Wildberries o‘zgarmadi. Buyurtma terilishini tasdiqlang.	Marking code accepted locally in WMS. Item moved to box {0}. Wildberries was not changed. Confirm order picking.
КИЗ принят локально в аварийном режиме. Wildberries не изменялся. Подтвердите сборку заказа.	KIZ favqulodda rejimda mahalliy qabul qilindi. Wildberries o‘zgarmadi. Buyurtma terilishini tasdiqlang.	Marking code accepted locally in emergency mode. Wildberries was not changed. Confirm order picking.
КИЗ принят в WMS для {0}. Товар перемещён в короб {0}. Подтвердите сборку заказа.	KIZ WMSda {0} uchun qabul qilindi. Tovar {0} qutisiga ko‘chirildi. Buyurtma terilishini tasdiqlang.	Marking code accepted in WMS for {0}. Item moved to box {0}. Confirm order picking.
КИЗ принят в WMS для {0}. Подтвердите сборку заказа.	KIZ WMSda {0} uchun qabul qilindi. Buyurtma terilishini tasdiqlang.	Marking code accepted in WMS for {0}. Confirm order picking.
КИЗ принят Wildberries: прежний КИЗ заменён на фактически отсканированный. Подтвердите сборку заказа.	KIZ Wildberriesda qabul qilindi: eski KIZ amalda skanerlanganiga almashtirildi. Buyurtma terilishini tasdiqlang.	Wildberries accepted the marking code: the old code was replaced with the scanned code. Confirm order picking.
КИЗ принят Wildberries и перепривязан к фактической единице в коробе {0}. Количество товара не изменялось. Подтвердите сборку заказа.	KIZ Wildberriesda qabul qilindi va {0} qutisidagi haqiqiy birlikka qayta bog‘landi. Tovar soni o‘zgarmadi. Buyurtma terilishini tasdiqlang.	Wildberries accepted the marking code and linked it to the actual item in box {0}. Quantity unchanged. Confirm order picking.
КИЗ принят Wildberries. Товар перемещён из короба {0} в {0}. Подтвердите сборку заказа.	KIZ Wildberriesda qabul qilindi. Tovar {0} qutisidan {0} qutisiga ko‘chirildi. Buyurtma terilishini tasdiqlang.	Wildberries accepted the marking code. Item moved from box {0} to {0}. Confirm order picking.
КИЗ принят Wildberries и заменил устаревшую запись в коробе {0}. Количество товара не изменилось. Подтвердите сборку заказа.	KIZ Wildberriesda qabul qilindi va {0} qutisidagi eskirgan yozuvni almashtirdi. Tovar soni o‘zgarmadi. Buyurtma terilishini tasdiqlang.	Wildberries accepted the marking code, replacing an outdated record in box {0}. Quantity unchanged. Confirm order picking.
КИЗ принят Wildberries и записан в WMS без изменения количества товара. Подтвердите сборку заказа.	KIZ Wildberriesda qabul qilindi va tovar soni o‘zgarmasdan WMSga yozildi. Buyurtma terilishini tasdiqlang.	Wildberries accepted the marking code and it was recorded in WMS without changing quantity. Confirm order picking.
КИЗ принят Wildberries. Подтвердите сборку заказа.	KIZ Wildberriesda qabul qilindi. Buyurtma terilishini tasdiqlang.	Wildberries accepted the marking code. Confirm order picking.
Заказ {0} передан в Ozon. Ozon формирует этикетку; нажмите «Обновить» через несколько секунд.	{0} buyurtmasi Ozonga yuborildi. Ozon yorliq tayyorlamoqda; bir necha soniyadan keyin “Yangilash”ni bosing.	Order {0} sent to Ozon. Ozon is generating the label; tap “Refresh” in a few seconds.
Готово. Заказ собран и записан в заявку.	Tayyor. Buyurtma terildi va topshiriqqa yozildi.	Done. Order picked and recorded in the request.
Принятого КИЗа в этом заказе нет.	Bu buyurtmada qabul qilingan KIZ yo‘q.	There is no accepted marking code in this order.
КИЗ освобождён локально в WMS. Wildberries не изменялся. Отсканируйте другой КИЗ.	KIZ WMSda mahalliy bo‘shatildi. Wildberries o‘zgarmadi. Boshqa KIZni skanerlang.	Marking code released locally in WMS. Wildberries unchanged. Scan another marking code.
КИЗ освобождён в WMS для {0}. Отсканируйте другой КИЗ.	KIZ WMSda {0} uchun bo‘shatildi. Boshqa KIZni skanerlang.	Marking code released in WMS for {0}. Scan another marking code.
КИЗ уже отменён. Отсканируйте другой КИЗ.	KIZ allaqachon bekor qilingan. Boshqa KIZni skanerlang.	Marking code already cancelled. Scan another marking code.
КИЗ отменён в Wildberries и освобождён в WMS. Отсканируйте другой КИЗ.	KIZ Wildberriesda bekor qilindi va WMSda bo‘shatildi. Boshqa KIZni skanerlang.	Marking code cancelled in Wildberries and released in WMS. Scan another marking code.
Заказ отложен. Можно взять следующий.	Buyurtma keyinga qoldirildi. Keyingisini olish mumkin.	Order postponed. You can take the next one.
Заявка не найдена.	Topshiriq topilmadi.	Request not found.
Двухэтапная сборка ФБО выключена.	Ikki bosqichli FBO terish o‘chirilgan.	Two-stage FBO picking is disabled.
Этот режим предназначен для ФБО с учётом по коробам.	Bu rejim qutilar bo‘yicha hisoblanadigan FBO uchun.	This mode is for FBO tracked by boxes.
Укажите филиал заявки.	Topshiriq filialini kiriting.	Specify the request branch.
У каждой строки ФБО должны быть товар, ШК и положительное количество.	Har bir FBO qatorida tovar, shtrixkod va musbat miqdor bo‘lishi kerak.	Each FBO line must have a product, barcode and positive quantity.
Сначала завершите проверку балансов волны.	Avval to‘lqin qoldiqlarini tekshirishni tugating.	Finish checking wave balances first.
Номер операции уже использован с другими данными.	Amal raqami boshqa ma’lumotlar bilan ishlatilgan.	Operation number already used with different data.
Заявка недоступна для сборки.	Topshiriq terish uchun mavjud emas.	Request unavailable for picking.
Сначала начните отбор.	Avval terishni boshlang.	Start picking first.
Заявка уже обрабатывалась старым способом. Требуется отдельный перенос её состояния.	Topshiriq eski usulda ishlangan. Uning holatini alohida ko‘chirish talab qilinadi.	Request already processed using the old method. Its state requires a separate migration.
Состав заявки изменён после начала отбора. Нужна сверка собранных единиц.	Terish boshlanganidan keyin topshiriq tarkibi o‘zgardi. Terilgan birliklarni solishtirish kerak.	Request contents changed after picking started. Reconcile the picked items.
Этап изменился. Обновите заявку.	Bosqich o‘zgardi. Topshiriqni yangilang.	Stage changed. Refresh the request.
Сначала отсканируйте паллет, на котором сейчас находится этот короб.	Avval bu quti hozir turgan paletni skanerlang.	Scan the pallet where this box is currently located first.
Состав КИЗ не совпадает с остатком. Выполните актуализацию короба.	KIZlar tarkibi qoldiqqa mos emas. Quti qoldig‘ini yangilang.	Marking codes do not match stock. Recount and update the box.
Короб нельзя забрать целиком. Отбирайте нужное количество через ШК и КИЗ.	Qutini butunlay olib bo‘lmaydi. Kerakli miqdorni shtrixkod va KIZ orqali tering.	Cannot take the whole box. Pick the required quantity by barcode and marking code.
Этот товар не требуется или уже полностью отобран.	Bu tovar kerak emas yoki to‘liq terilgan.	This product is not required or has already been fully picked.
После ШК отсканируйте КИЗ.	Shtrixkoddan keyin KIZni skanerlang.	After the barcode, scan the marking code.
Этот КИЗ не доступен в указанном коробе для данного товара.	Bu KIZ ko‘rsatilgan qutida shu tovar uchun mavjud emas.	This marking code is not available in the specified box for this product.
Неоднозначный КИЗ.	KIZ bir nechta yozuvga mos keladi.	Ambiguous marking code.
КИЗ уже отобран другим сотрудником.	KIZ boshqa xodim tomonidan terilgan.	Marking code already picked by another employee.
Сначала отберите все единицы заявки.	Avval topshiriqdagi barcha birliklarni tering.	Pick all items in the request first.
Короб уже закрыт или принадлежит другой сборке.	Quti yopilgan yoki boshqa terishga tegishli.	Box already closed or belongs to another picking task.
Для упаковки нужен пустой короб.	Qadoqlash uchun bo‘sh quti kerak.	An empty box is required for packing.
Все отдельные единицы уже вложены.	Barcha alohida birliklar joylangan.	All individual items have already been packed.
Сначала откройте короб для упаковки.	Avval qadoqlash uchun qutini oching.	Open a packing box first.
Единица не отобрана для этой заявки или уже вложена. Проверьте ШК и КИЗ.	Birlik bu topshiriq uchun terilmagan yoki allaqachon joylangan. Shtrixkod va KIZni tekshiring.	Item not picked for this request or already packed. Check barcode and marking code.
КИЗ перемещён после отбора. Нужна сверка.	KIZ terishdan keyin ko‘chirilgan. Solishtirish kerak.	Marking code moved after picking. Reconciliation required.
Этот короб не отобран целиком или уже добавлен.	Bu quti butunlay terilmagan yoki allaqachon qo‘shilgan.	This box was not picked whole or has already been added.
Отложить можно только пустой открытый короб этой заявки.	Faqat shu topshiriqning bo‘sh ochiq qutisini keyinga qoldirish mumkin.	Only an empty open box of this request can be set aside.
Короб не открыт или уже закрыт.	Quti ochilmagan yoki yopilgan.	Box not open or already closed.
Нельзя закрыть пустой короб.	Bo‘sh qutini yopib bo‘lmaydi.	Cannot close an empty box.
Не все отобранные единицы разложены по коробам.	Barcha terilgan birliklar qutilarga joylanmagan.	Not all picked items have been packed into boxes.
Закройте все короба.	Barcha qutilarni yoping.	Close all boxes.
Короб не входит в поставку.	Quti jo‘natmaga kirmaydi.	Box is not in the shipment.
Этот короб уже подтверждён.	Bu quti allaqachon tasdiqlangan.	This box is already confirmed.
Отсканируйте все короба поставки.	Jo‘natmaning barcha qutilarini skanerlang.	Scan all shipment boxes.
Неизвестное действие.	Noma’lum amal.	Unknown action.
Сканируйте ШК короба.	Quti shtrixkodini skanerlang.	Scan the box barcode.
Короб недоступен в филиале и у клиента заявки.	Quti topshiriq filiali va mijozida mavjud emas.	Box unavailable in the request’s branch and client.
Сканируйте ШК короба FFL.	FFL qutisi shtrixkodini skanerlang.	Scan the FFL box barcode.
Короб участвует в актуализации или другой активной сборке.	Quti qoldig‘i yangilanmoqda yoki boshqa faol terishda qatnashmoqda.	Box is being recounted or used in another active picking task.
КИЗ отсутствует или имеет несколько записей. Нужна актуализация.	KIZ yo‘q yoki bir nechta yozuvga ega. Qoldiqni yangilash kerak.	Marking code missing or has multiple records. Recount required.
Остаток изменился. Обновите задание.	Qoldiq o‘zgardi. Topshiriqni yangilang.	Stock changed. Refresh the task.
Нет доступного остатка. Выполните актуализацию исходного короба.	Mavjud qoldiq yo‘q. Manba quti qoldig‘ini yangilang.	No available stock. Recount and update the source box.
В коробе появился посторонний остаток.	Qutida boshqa qoldiq paydo bo‘ldi.	Unrelated stock appeared in the box.
Состав короба изменился после упаковки.	Qadoqlashdan keyin quti tarkibi o‘zgardi.	Box contents changed after packing.
КИЗ короба изменились после упаковки.	Qadoqlashdan keyin quti KIZlari o‘zgardi.	Box marking codes changed after packing.
Сначала подтвердите все короба поставки.	Avval jo‘natmaning barcha qutilarini tasdiqlang.	Confirm all shipment boxes first.
Заявка для ТСД не найдена.	TSD topshirig‘i topilmadi.	Handheld request not found.
Волна {0} ожидает проверки балансов клиентом. Сборка еще не зафиксирована.	{0} to‘lqini mijoz qoldiqni tekshirishini kutmoqda. Terish hali qayd etilmagan.	Wave {0} is awaiting the client’s balance check. Picking has not been recorded yet.
Эта позиция перемещения уже выполнена другим сборщиком. Обновите заявку на ТСД.	Bu ko‘chirish pozitsiyasini boshqa teruvchi bajargan. TSDdagi topshiriqni yangilang.	Another picker already completed this transfer item. Refresh the handheld request.
Короб не входит в актуальный список коробов на отправку. Обновите заявку на ТСД.	Quti jo‘natiladigan qutilarning joriy ro‘yxatiga kirmaydi. TSDdagi topshiriqni yangilang.	Box not in the current shipping list. Refresh the handheld request.
Этот короб уже был пропикан и подтвержден к отгрузке. Повторный скан отклонен.	Bu quti avval skanerlangan va jo‘natishga tasdiqlangan. Takroriy skan rad etildi.	This box was already scanned and confirmed for shipment. Duplicate scan rejected.
Для этого клиента используется обычная сборка по складским коробам.	Bu mijoz uchun ombor qutilari bo‘yicha oddiy terish ishlatiladi.	This client uses standard picking by warehouse boxes.
Не упаковано товаров: {0}.	Qadoqlanmagan tovarlar: {0}.	Items not packed: {0}.
Перед завершением закройте все открытые короба.	Yakunlashdan oldin barcha ochiq qutilarni yoping.	Close all open boxes before finishing.
Откройте новую двухэтапную сборку ФБО. При необходимости обновите ТСД.	Yangi ikki bosqichli FBO terishni oching. Kerak bo‘lsa TSDni yangilang.	Open the new two-stage FBO picking. Update the handheld app if needed.
Не указан клиент для поиска товара.	Tovar qidirish uchun mijoz ko‘rsatilmagan.	Client not specified for product search.
Не указан штрихкод товара.	Tovar shtrixkodi ko‘rsatilmagan.	Product barcode not specified.
Товар по штрихкоду не найден.	Shtrixkod bo‘yicha tovar topilmadi.	Product not found by barcode.
Этот короб уже был пропикан в данной заявке. Повторный скан отклонен.	Bu quti shu topshiriqda avval skanerlangan. Takroriy skan rad etildi.	This box was already scanned in this request. Duplicate scan rejected.
Сначала отсканируйте номер нового короба, начинающийся с FFL.	Avval FFL bilan boshlanuvchi yangi quti raqamini skanerlang.	Scan the new box number starting with FFL first.
КИЗ уже зарегистрирован в другом филиале. Передайте товар менеджеру.	KIZ boshqa filialda ro‘yxatdan o‘tgan. Tovarni menejerga bering.	Marking code already registered in another branch. Give the item to the manager.
КИЗ свободен.	KIZ bo‘sh.	Marking code is free.
Закрытие не может зависеть от самого себя.	Yopish o‘ziga bog‘liq bo‘la olmaydi.	Closing cannot depend on itself.
Закрытие пришло не от устройства из access token.	Yopish so‘rovi kirish tokenidagi qurilmadan kelmagan.	Closing request came from a different device than the access token.
Выберите филиал для закрытия приемки на ТСД.	TSDda qabulni yopish uchun filialni tanlang.	Select a branch to close handheld receiving.
Короб не найден в выбранном клиенте и филиале.	Quti tanlangan mijoz va filialda topilmadi.	Box not found for the selected client and branch.
Ключ закрытия уже использован для другой операции.	Yopish kaliti boshqa amal uchun ishlatilgan.	Closing key already used for another operation.
Короб {0} не открыт для приемки. Его статус не изменён.	{0} qutisi qabul uchun ochilmagan. Uning holati o‘zgarmadi.	Box {0} is not open for receiving. Its status was not changed.
Закрытие содержит скан другого устройства, клиента, короба или приемки.	Yopishda boshqa qurilma, mijoz, quti yoki qabul skani bor.	Closing includes a scan from another device, client, box or receiving session.
Короб уже открыт другой приемкой или устройством. Старое закрытие не применено.	Quti boshqa qabul yoki qurilma tomonidan ochilgan. Eski yopish qo‘llanmadi.	Box already opened by another receiving session or device. Old closing was not applied.
Сканы относятся к предыдущему заполнению короба. Старое закрытие не применено.	Skanlar qutining oldingi to‘ldirilishiga tegishli. Eski yopish qo‘llanmadi.	Scans belong to the previous box filling. Old closing was not applied.
Движение по скану не соответствует закрываемому коробу и филиалу.	Skan bo‘yicha harakat yopilayotgan quti va filialga mos emas.	Scan movement does not match the box and branch being closed.
Выберите филиал для приемки на ТСД.	TSDda qabul qilish uchun filialni tanlang.	Select a branch for handheld receiving.
Клиент не найден или отправлен в архив.	Mijoz topilmadi yoki arxivga yuborilgan.	Client not found or archived.
Короб {0} относится к другому клиенту.	{0} qutisi boshqa mijozga tegishli.	Box {0} belongs to another client.
Короб {0} относится к другому филиалу или не имеет безопасной привязки.	{0} qutisi boshqa filialga tegishli yoki ishonchli bog‘lanmagan.	Box {0} belongs to another branch or lacks a verified association.
Короб {0} уже есть в WMS. Для новой приемки нужен новый ШК короба.	{0} qutisi WMSda mavjud. Yangi qabul uchun yangi quti shtrixkodi kerak.	Box {0} already exists in WMS. New receiving requires a new box barcode.
Короб {0} повторно открыт. Продолжайте приемку.	{0} qutisi qayta ochildi. Qabul qilishni davom ettiring.	Box {0} reopened. Continue receiving.
Короб {0} открыт для приемки.	{0} qutisi qabul uchun ochildi.	Box {0} opened for receiving.
Выберите доступный для изменения филиал.	O‘zgartirish mumkin bo‘lgan filialni tanlang.	Select a branch you can modify.
Приемка относится к другому филиалу. Переключите город работы.	Qabul boshqa filialga tegishli. Ish shahrini almashtiring.	Receiving belongs to another branch. Switch the work city.
Неверный список сканов закрываемого короба.	Yopilayotgan quti skanlari ro‘yxati noto‘g‘ri.	Invalid scan list for the box being closed.
Для закрытия нужен непустой список уникальных ключей сканов короба.	Yopish uchun quti skanlarining noyob kalitlari bo‘sh bo‘lmagan ro‘yxati kerak.	Closing requires a nonempty list of unique box scan keys.
Поле {0} обязательно для приемки ТСД.	TSD qabuli uchun {0} maydoni majburiy.	Field {0} is required for handheld receiving.
Номер короба должен начинаться с FFL. Отсканируйте корректный ШК короба.	Quti raqami FFL bilan boshlanishi kerak. To‘g‘ri quti shtrixkodini skanerlang.	Box number must start with FFL. Scan the correct box barcode.
Не удалось определить код ТСД для мониторинга.	Monitoring uchun TSD kodini aniqlab bo‘lmadi.	Could not identify the handheld code for monitoring.
Для журнала ошибки нужны код ТСД и текст ошибки.	Xato jurnali uchun TSD kodi va xato matni kerak.	Error log requires a handheld code and error text.
Снимок экрана не получен.	Ekran rasmi olinmadi.	Screenshot not received.
Допустимы снимки JPEG, PNG или WebP.	JPEG, PNG yoki WebP ekran rasmlari ruxsat etiladi.	Screenshots must be JPEG, PNG or WebP.
Снимок экрана превышает 750 КБ.	Ekran rasmi 750 KBdan katta.	Screenshot exceeds 750 KB.
Операция ошибки ТСД не найдена.	TSD xato amali topilmadi.	Handheld error operation not found.
Нельзя прикрепить снимок к ошибке другого сотрудника.	Boshqa xodim xatosiga rasm biriktirib bo‘lmaydi.	Cannot attach a screenshot to another employee’s error.
Для ТСД нужен активный пользователь-оператор.	TSD uchun faol operator foydalanuvchisi kerak.	Handheld requires an active operator user.
Пользователь ТСД должен иметь право stock:write.	TSD foydalanuvchisida stock:write huquqi bo‘lishi kerak.	Handheld user must have stock:write permission.
Укажите логин/пароль или код/секрет ТСД.	Login/parol yoki TSD kodi/maxfiy kodini kiriting.	Enter login/password or handheld code/secret.
Неверный логин или пароль.	Login yoki parol noto‘g‘ri.	Incorrect login or password.
Пользователь заблокирован.	Foydalanuvchi bloklangan.	User blocked.
У пользователя ТСД нет права stock:write.	TSD foydalanuvchisida stock:write huquqi yo‘q.	Handheld user lacks stock:write permission.
Обновите приложение ТСД и войдите заново: старая версия не передаёт код физического устройства.	TSD ilovasini yangilang va qayta kiring: eski versiya qurilma kodini yubormaydi.	Update the handheld app and sign in again: the old version does not send the physical device code.
Не удалось зарегистрировать физический ТСД. Повторите вход.	TSD qurilmasini ro‘yxatdan o‘tkazib bo‘lmadi. Qayta kiring.	Could not register the physical handheld. Sign in again.
Этот физический ТСД заблокирован администратором.	Bu TSD qurilmasi administrator tomonidan bloklangan.	This physical handheld is blocked by an administrator.
Неверный код или секрет ТСД.	TSD kodi yoki maxfiy kodi noto‘g‘ri.	Incorrect handheld code or secret.
ТСД заблокирован.	TSD bloklangan.	Handheld blocked.
Пользователь ТСД заблокирован.	TSD foydalanuvchisi bloklangan.	Handheld user blocked.
ТСД заблокирован или удален.	TSD bloklangan yoki o‘chirilgan.	Handheld blocked or deleted.
Этот физический ТСД заблокирован или удалён.	Bu TSD qurilmasi bloklangan yoki o‘chirilgan.	This physical handheld is blocked or deleted.
Сотрудник на этом ТСД уже изменился. Повторите вход.	Bu TSDdagi xodim o‘zgargan. Qayta kiring.	Employee on this handheld has changed. Sign in again.
Не удалось перепривязать общий ТСД. Повторите вход.	Umumiy TSDni qayta biriktirib bo‘lmadi. Qayta kiring.	Could not reassign the shared handheld. Sign in again.
Закрытую, отменённую или отклонённую FBS-заявку нельзя отправить в ТСД.	Yopilgan, bekor qilingan yoki rad etilgan FBS topshirig‘ini TSDga yuborib bo‘lmaydi.	A closed, cancelled or rejected FBS request cannot be sent to a handheld.
У сотрудника {0} уже начат заказ в другой FBS-заявке. Завершите или отложите его, затем снова откройте выбранную заявку. ТСД не будет автоматически переключать заявку.	{0} xodimi boshqa FBS topshirig‘ida buyurtmani boshlagan. Uni tugating yoki keyinga qoldiring, keyin tanlangan topshiriqni qayta oching. TSD topshiriqni avtomatik almashtirmaydi.	Employee {0} already started an order in another FBS request. Finish or postpone it, then reopen the selected request. The handheld will not switch requests automatically.
FBS-заявка не найдена. Обновите список заявок на ТСД.	FBS topshirig‘i topilmadi. TSDdagi topshiriqlar ro‘yxatini yangilang.	FBS request not found. Refresh the handheld request list.
Эта FBS-заявка уже закрыта. Обновите список заявок на ТСД.	Bu FBS topshirig‘i yopilgan. TSDdagi topshiriqlar ro‘yxatini yangilang.	This FBS request is closed. Refresh the handheld request list.
Товар с ШК {0} не нужен в оставшейся части этой FBS-заявки.	{0} shtrixkodli tovar bu FBS topshirig‘ining qolgan qismida kerak emas.	Product with barcode {0} is not needed in the remaining part of this FBS request.
Источник уже подтверждён: короб {0}. Завершите заказ или сбросьте сборку.	Manba tasdiqlangan: {0} qutisi. Buyurtmani tugating yoki terishni bekor qiling.	Source already confirmed: box {0}. Finish the order or reset picking.
Сначала отсканируйте ШК товара, чтобы WMS проверила, что он нужен этой FBS-заявке.	Avval tovar shtrixkodini skanerlang, WMS bu FBS topshirig‘iga kerakligini tekshiradi.	Scan the product barcode first so WMS can check whether it is needed for this FBS request.
Источник можно отложить только до сканирования КИЗа и завершения переклейки.	Manbani faqat KIZ skanerlanishidan va qayta yorliqlash tugashidan oldin keyinga qoldirish mumkin.	Source entry can only be postponed before scanning the marking code and completing relabelling.
Не удалось однозначно определить филиал этой FBS-заявки. Обновите маршрут перед сканированием.	Bu FBS topshirig‘ining filialini aniq belgilab bo‘lmadi. Skanerlashdan oldin marshrutni yangilang.	Could not determine this FBS request’s branch unambiguously. Refresh the route before scanning.
Код не распознан ни как короб, ни как паллетсорт. Короб должен начинаться с: {0}.	Kod quti yoki saralash paleti sifatida tanilmadi. Quti shundan boshlanishi kerak: {0}.	Code not recognised as a box or sorting pallet. Box code must start with: {0}.
Короб {0} не найден в палет-сорте. Для FBS можно использовать только короба, установленные на палет-сорт.	{0} qutisi saralash paletida topilmadi. FBS uchun faqat saralash paletiga joylangan qutilar ishlatiladi.	Box {0} not found on a sorting pallet. FBS can only use boxes placed on sorting pallets.
Короб {0} находится в другом филиале и не относится к этой заявке.	{0} qutisi boshqa filialda va bu topshiriqqa tegishli emas.	Box {0} is in another branch and does not belong to this request.
По заказу уже отсканирован товар из короба {0}. Завершите его или сбросьте сборку заказа.	Buyurtma uchun {0} qutisidan tovar skanerlangan. Uni tugating yoki buyurtma terilishini bekor qiling.	Item from box {0} already scanned for this order. Finish it or reset order picking.
Филиал заявки изменился. Обновите задание на ТСД.	Topshiriq filiali o‘zgardi. TSDdagi topshiriqni yangilang.	Request branch changed. Refresh the handheld task.
Сначала отсканируйте короб, указанный на экране.	Avval ekranda ko‘rsatilgan qutini skanerlang.	Scan the box shown on screen first.
Сейчас нужен ШК товара, а не номер короба.	Hozir quti raqami emas, tovar shtrixkodi kerak.	Product barcode required now, not a box number.
Сейчас нужен ШК товара. КИЗ будет запрошен следующим шагом.	Hozir tovar shtrixkodi kerak. KIZ keyingi bosqichda so‘raladi.	Product barcode required now. Marking code will be requested next.
Неверный исходный товар. Возьмите «{0}», арт. {0}, и отсканируйте его ШК.	Asl tovar noto‘g‘ri. “{0}”, artikul {0} tovarini oling va shtrixkodini skanerlang.	Wrong original item. Take “{0}”, article {0}, and scan its barcode.
Неверный новый ШК. После переклейки должен получиться «{0}», арт. {0}.	Yangi shtrixkod noto‘g‘ri. Qayta yorliqlashdan keyin “{0}”, artikul {0} bo‘lishi kerak.	Wrong new barcode. After relabelling, the item must be “{0}”, article {0}.
Неверный товар. Нужен «{0}», арт. {0}. Верните товар и отсканируйте правильный ШК.	Tovar noto‘g‘ri. “{0}”, artikul {0} kerak. Tovarni qaytaring va to‘g‘ri shtrixkodni skanerlang.	Wrong item. Need “{0}”, article {0}. Return the item and scan the correct barcode.
Сначала подтвердите исходный товар для переклейки.	Avval qayta yorliqlash uchun asl tovarni tasdiqlang.	Confirm the original item for relabelling first.
Задание FBS не найдено.	FBS topshirig‘i topilmadi.	FBS task not found.
Состояние переклейки изменилось. Обновите задание.	Qayta yorliqlash holati o‘zgardi. Topshiriqni yangilang.	Relabelling state changed. Refresh the task.
{0} уже недостаточно исходного товара «{0}». Обновите задание.	{0} joyida asl “{0}” tovari endi yetarli emas. Topshiriqni yangilang.	{0} no longer has enough of the original item “{0}”. Refresh the task.
Для этого товара КИЗ не требуется.	Bu tovar uchun KIZ talab qilinmaydi.	This product does not require a marking code.
Сначала подтвердите короб и ШК товара.	Avval quti va tovar shtrixkodini tasdiqlang.	Confirm the box and product barcode first.
Переклейка КИЗ в этом окружении выключена.	Bu muhitda KIZ almashtirish o‘chirilgan.	Marking-label replacement is disabled in this environment.
Новый КИЗ уже использовался в WB. Возьмите свободный новый КИЗ.	Yangi KIZ WBda ishlatilgan. Ishlatilmagan yangi KIZni oling.	The new marking code was already used in WB. Take an unused new marking code.
Для этого заказа уже сохранён другой КИЗ и ожидается подтверждение для {0}. Повторно отсканируйте тот же товар.	Bu buyurtma uchun boshqa KIZ saqlangan va {0} tasdig‘i kutilmoqda. Xuddi shu tovarni qayta skanerlang.	A different marking code is saved for this order, awaiting confirmation for {0}. Scan the same item again.
Отсканирован ШК товара. Сейчас нужен КИЗ Data Matrix.	Tovar shtrixkodi skanerlandi. Hozir Data Matrix KIZ kerak.	Product barcode scanned. Data Matrix marking code required now.
Этот КИЗ уже зарегистрирован в WMS у другого клиента. Передайте товар менеджеру.	Bu KIZ WMSda boshqa mijozda ro‘yxatdan o‘tgan. Tovarni menejerga bering.	This marking code is registered in WMS for another client. Give the item to the manager.
Для переклейки этой единицы обновите приложение ТСД через «Проверить обновление».	Bu birlik KIZini almashtirish uchun “Yangilanishni tekshirish” orqali TSD ilovasini yangilang.	To replace this item’s marking label, update the handheld app using “Check for updates”.
Этот КИЗ уже привязан к FBS-заказу {0}. Возьмите другую единицу.	Bu KIZ FBS {0} buyurtmasiga bog‘langan. Boshqa birlikni oling.	This marking code is linked to FBS order {0}. Take another item.
Этот КИЗ уже использовался в WB. Для переклейки обновите приложение ТСД через «Проверить обновление».	Bu KIZ WBda ishlatilgan. Almashtirish uchun “Yangilanishni tekshirish” orqali TSD ilovasini yangilang.	This marking code was used in WB. To relabel, update the handheld app using “Check for updates”.
У этого КИЗ нет истории использования в WB. Продолжите проверку короба; переклейка не зарегистрирована.	Bu KIZning WBda ishlatilish tarixi yo‘q. Quti tekshiruvini davom ettiring; qayta yorliqlash qayd etilmadi.	This marking code has no WB usage history. Continue checking the box; relabelling was not recorded.
Подключение Wildberries отключено. Обратитесь к администратору.	Wildberries ulanishi o‘chirilgan. Administratorga murojaat qiling.	Wildberries connection disabled. Contact an administrator.
Не удалось проверить журнал замены КИЗ в WMS. Wildberries не изменялся. Повторите сканирование того же КИЗ позже.	WMSda KIZ almashtirish jurnalini tekshirib bo‘lmadi. Wildberries o‘zgarmadi. Shu KIZni keyinroq qayta skanerlang.	Could not check the marking-code replacement log in WMS. Wildberries unchanged. Scan the same marking code again later.
Этот КИЗ уже успели зарегистрировать в WMS. Обновите задание и проверьте товар.	Bu KIZ WMSda allaqachon ro‘yxatdan o‘tkazilgan. Topshiriqni yangilang va tovarni tekshiring.	This marking code has just been registered in WMS. Refresh the task and check the item.
